seqname,tax_id
589787,GG00134492
587519,GG00266538
586876,GG00091665
574071,GG00412815
569058,GG00137044
566761,GG00266970
560816,GG00412817
550229,GG00411391
540398,GG00216694
537245,GG00279707
532645,GG00041023
355913,GG00388805
348720,GG00412813
346735,GG00108665
332077,GG00220358
316970,GG00279588
271582,GG00405800
264416,GG00064292
259059,GG00053483
254053,GG00379432
250980,GG00405821
245702,GG00026536
238135,GG00279718
203480,GG00216700
201574,GG00279557
201378,GG00260098
201331,GG00279471
201216,GG00041021
200948,GG00279548
200845,GG00412832
200301,GG00135460
199942,GG00279508
177038,GG00412216
155693,GG00262474
153852,GG00374326
153508,GG00091274
140004,GG00135453
134825,GG00258961
128551,GG00135387
108028,GG00127613
104010,GG00256345
93513,GG00233955
89696,GG00165382
82149,GG00279492
65673,GG00279653
58989,GG00126261
45024,GG00403092
39217,GG00405329
20204,GG00019954
2936,GG00266450
1029,GG00411259
525,GG00406492
